sample_id,midi_path,tokens_path,score
sample_001,/Users/mahir/Ronon/music-generation-unsupervised/outputs/rlhf/survey_midis/sample_001.mid,/Users/mahir/Ronon/music-generation-unsupervised/outputs/rlhf/tokens/sample_001.json,
sample_002,/Users/mahir/Ronon/music-generation-unsupervised/outputs/rlhf/survey_midis/sample_002.mid,/Users/mahir/Ronon/music-generation-unsupervised/outputs/rlhf/tokens/sample_002.json,
sample_003,/Users/mahir/Ronon/music-generation-unsupervised/outputs/rlhf/survey_midis/sample_003.mid,/Users/mahir/Ronon/music-generation-unsupervised/outputs/rlhf/tokens/sample_003.json,
sample_004,/Users/mahir/Ronon/music-generation-unsupervised/outputs/rlhf/survey_midis/sample_004.mid,/Users/mahir/Ronon/music-generation-unsupervised/outputs/rlhf/tokens/sample_004.json,
sample_005,/Users/mahir/Ronon/music-generation-unsupervised/outputs/rlhf/survey_midis/sample_005.mid,/Users/mahir/Ronon/music-generation-unsupervised/outputs/rlhf/tokens/sample_005.json,
sample_006,/Users/mahir/Ronon/music-generation-unsupervised/outputs/rlhf/survey_midis/sample_006.mid,/Users/mahir/Ronon/music-generation-unsupervised/outputs/rlhf/tokens/sample_006.json,
sample_007,/Users/mahir/Ronon/music-generation-unsupervised/outputs/rlhf/survey_midis/sample_007.mid,/Users/mahir/Ronon/music-generation-unsupervised/outputs/rlhf/tokens/sample_007.json,
sample_008,/Users/mahir/Ronon/music-generation-unsupervised/outputs/rlhf/survey_midis/sample_008.mid,/Users/mahir/Ronon/music-generation-unsupervised/outputs/rlhf/tokens/sample_008.json,
sample_009,/Users/mahir/Ronon/music-generation-unsupervised/outputs/rlhf/survey_midis/sample_009.mid,/Users/mahir/Ronon/music-generation-unsupervised/outputs/rlhf/tokens/sample_009.json,
sample_010,/Users/mahir/Ronon/music-generation-unsupervised/outputs/rlhf/survey_midis/sample_010.mid,/Users/mahir/Ronon/music-generation-unsupervised/outputs/rlhf/tokens/sample_010.json,
sample_011,/Users/mahir/Ronon/music-generation-unsupervised/outputs/rlhf/survey_midis/sample_011.mid,/Users/mahir/Ronon/music-generation-unsupervised/outputs/rlhf/tokens/sample_011.json,
sample_012,/Users/mahir/Ronon/music-generation-unsupervised/outputs/rlhf/survey_midis/sample_012.mid,/Users/mahir/Ronon/music-generation-unsupervised/outputs/rlhf/tokens/sample_012.json,
sample_013,/Users/mahir/Ronon/music-generation-unsupervised/outputs/rlhf/survey_midis/sample_013.mid,/Users/mahir/Ronon/music-generation-unsupervised/outputs/rlhf/tokens/sample_013.json,
sample_014,/Users/mahir/Ronon/music-generation-unsupervised/outputs/rlhf/survey_midis/sample_014.mid,/Users/mahir/Ronon/music-generation-unsupervised/outputs/rlhf/tokens/sample_014.json,
sample_015,/Users/mahir/Ronon/music-generation-unsupervised/outputs/rlhf/survey_midis/sample_015.mid,/Users/mahir/Ronon/music-generation-unsupervised/outputs/rlhf/tokens/sample_015.json,
sample_016,/Users/mahir/Ronon/music-generation-unsupervised/outputs/rlhf/survey_midis/sample_016.mid,/Users/mahir/Ronon/music-generation-unsupervised/outputs/rlhf/tokens/sample_016.json,
sample_017,/Users/mahir/Ronon/music-generation-unsupervised/outputs/rlhf/survey_midis/sample_017.mid,/Users/mahir/Ronon/music-generation-unsupervised/outputs/rlhf/tokens/sample_017.json,
sample_018,/Users/mahir/Ronon/music-generation-unsupervised/outputs/rlhf/survey_midis/sample_018.mid,/Users/mahir/Ronon/music-generation-unsupervised/outputs/rlhf/tokens/sample_018.json,
sample_019,/Users/mahir/Ronon/music-generation-unsupervised/outputs/rlhf/survey_midis/sample_019.mid,/Users/mahir/Ronon/music-generation-unsupervised/outputs/rlhf/tokens/sample_019.json,
sample_020,/Users/mahir/Ronon/music-generation-unsupervised/outputs/rlhf/survey_midis/sample_020.mid,/Users/mahir/Ronon/music-generation-unsupervised/outputs/rlhf/tokens/sample_020.json,
